code,name,city
ERH,Moulay Ali Cherif Airport,Errachidia
ERI,Erie International Airport,Fairview
ERL,Eren Hot Airport,Erenhot
ERM,Comandante Kraemer,Erechim
ERN,Eirunepe,Eirunepe
ERR,Errol,Milan
ERT,Erdenet,Erdenet
ERV,Kerrville,Kerrville
ERZ,Erzurum Airport,Ilica
ESB,Esenboga International Airport,Akyurt
ESC,Delta County Airport,Escanaba
ESE,Ensenada,Ensenada
ESF,Esler Field,Ball
ESH,Shoreham,Lancing
ESI,Espinosa,Itacarambi
ESK,Eskisehir,Eskisehir
ESL,Elista Airport,Troitskoye
ESM,Esmeraldas Airport,Esmeraldas
ESN,Easton,Easton
ESO,Espanola,Ohkay Owingeh
ESP,Birchwood-Pocono,Stroudsburg
ESR,El Salvador,Diego de Almagro
ESS,Essen,Muelheim (Ruhr)
EST,Municipal,Estherville
ESU,Essaouira Airport,Essaouira
ESW,State,Cle Elum
ETB,West Bend,West Bend
ETE,Genda Wuha,Doka
ETL,Svetlaya Airport,Svetlaya
ETN,Municipal,Eastland
ETR,Coronel Artilleria Victor Larrea Airport,Santa Rosa
ETS,Municipal,Enterprise
ETZ,Metz-Nancy-Lorraine Airport,Verny
EUA,Kaufana,`Ohonua
EUE,Eureka,Eureka
EUF,Weedon Field,Eufaula
EUG,Eugene Airport,Junction City
EUM,Neumuenster,Neumunster
EUN,Hassan I Airport,Laayoune / El Aaiun
EUO,Paratebueno,Paratebueno
EUQ,Evelio Javier,San Pedro
EUX,F D Roosevelt Airport,Oranjestad
EVA,Landing Strip,Evadale
EVE,Harstad/Narvik Airport Evenes,Evenskjer
EVG,Sveg Airport,Sveg
EVH,Evans Head,Evans Head
EVM,Eveleth,Eveleth
EVN,Zvartnots International Airport,Arbat'
EVV,Evansville Regional Airport,Melody Hill
EVW,Evanston,Evanston
EVX,Evreux,Evreux
EWB,New Bedford Airport,New Bedford
EWI,Enarotali,Enarotali
EWK,City-County,Newton
EWN,Coastal Carolina Regional Airport,James City
EWR,Newark Liberty International Airport,Elizabeth
EXT,Exeter International Airport,Topsham
EYK,Beloyarsky Airport,Beloyarskiy
EYL,Yelimane,Yelimane
EYP,El Yopal Airport,Yopal
EYR,Yerington,Yerington
EYW,Key West International Airport,Stock Island
EZE,Ministro Pistarini Airport,Ezeiza
EZS,Elazig Airport,Mollakendi
EZV,Berezovo,Berezovo
FAA,Faranah,Faranah
FAB,Farnborough,Farnborough
FAE,Vagar Airport,Midvagur
FAH,Farah,Farah
FAJ,Diego Jimenez Torres,Luis M. Cintron
FAL,Falcon State,Nueva Ciudad Guerrero
FAM,Regional,Farmington
FAR,Hector International Airport,Oakport
FAS,Faskrudsfjordur,Eskifjoerdur
FAT,Fresno Yosemite International Airport,Sunnyside
FAY,Fayetteville Regional Airport,Hope Mills
FAZ,Fasa,Fasa
FBD,Faizabad Airport,Fayzabad
FBE,Francisco Beltrao,Francisco Beltrao
FBG,Simmons AAF,Fort Bragg
FBL,Municipal,Faribault
FBM,Lubumbashi International Airport,Lubumbashi
FBR,Fort Bridger,Mountain View
FBY,Municipal,Fairbury
FCA,Glacier Park International Airport,Evergreen
FCB,Ficksburg Sentra Oes,Ficksburg
FCH,Fresno-Chandler,Fresno
FCN,Cuxhaven/Nordholz,Midlum
FCO,Leonardo da Vinci-Fiumicino Airport,Fiumicino-Isola Sacra
FCS,Butts AAF,Colorado Springs
FCY,Municipal,Forrest City
FDE,Bringeland Airport,Sande
FDF,Martinique Aime Cesaire International Airport,Le Lamentin
FDH,Friedrichshafen Airport,Friedrichshafen
FDK,Frederick Municipal,Frederick
FDR,Municipal,Frederick
FDU,Bandundu,Bandundu
FDY,Findlay,Paulding
FEB,Sanfebagar,Achham
FEC,Feira De Santana,Feira de Santana
FEG,Fergana Airport,Fergana
FEJ,Feijo,Feijo
FEK,Ferkessedougou,Ferkessedougou
FEL,Fuerstenfeldbruck,Maisach
FEN,Fernando De Noronha Airport,Fernando de Noronha (Distrito Estadual)
FEP,Albertus,Freeport
FES,San Fernando,San Fernando
FET,Municipal,Fremont
FEW,Warren AFB,Cheyenne
FEZ,Fes-Saiss Airport,Oulad Tayeb
FFA,First Flight,Kill Devil Hills
FFD,Fairford RAF Station,Fairford
FFL,Municipal,Fairfield
FFM,Fergus Falls,Fergus Falls
FFO,Patterson AFB,Dayton
FFT,Capital City,Frankfort
FFU,Futaleufu,Futaleufu
FGI,Fagali I Airport,Apia
FGR,Fuengirola,Fuengirola
FHU,Municipal,Huachuca City
FIG,Fria,Fria
FIH,N'djili Airport,Masina
FIL,Municipal,Fillmore
FJR,Al-Fujairah International,Al Fujayrah
FKB,Baden-Airpark,Hugelsheim
FKI,Bangoka International Airport,Kisangani
FKJ,Fukui,Maruoka
FKL,Venango Regional Airport,Franklin
FKN,Municipal,Franklin
FKQ,Fak Fak Airport,Fakfak
FKS,Fukushima Airport,Sukagawa
FLA,Capitolio Airport,Florencia
FLB,Cangapara,Floriano
FLC,Falls Creek,Maryborough
FLD,Fond Du Lac,North Fond du Lac
FLF,Schaferhaus,Harrislee
FLG,Flagstaff Pulliam Airport,Kachina Village
FLM,Filadelfia,Filadelfia
FLN,Hercilio Luz International Airport,Carianos
FLO,Florence Airport,Florence
FLP,Flippin,Flippin
FLR,Firenze-Peretola Airport,Sesto Fiorentino
FLS,Flinders Island Airport,Bridport
FLV,Sherman AAF,Weston
FLZ,Ferdinand Lumban Tobing Airport,Batangtoru
FMA,El Pucu Airport,Formosa
FME,Tipton AAF,Laurel
FMG,Flamingo,Sardinal
FMH,Otis AFB,Forestdale
FMI,Kalemie Airport,Kalemie
FMM,Memmingen Allgau Airport,Memmingerberg
FMN,Four Corners Regional Airport,Farmington
FMO,Munster Osnabruck International Airport,Ladbergen
FMS,Municipal,Fort Madison
FMU,Florence Municipal,Florence
FMY,Page Field,Pine Manor
FNA,Lungi International Airport,Masoyila
FNB,Neubrandenburg,Trollenhagen
FNC,Madeira Airport,Machico
FND,Funadhoo Airport,Funadhoo
FNG,Fada Ngourma,Fada N'gourma
FNH,Fincha,Shambu
FNI,Garons Airport,Garons
FNJ,Pyongyang Sunan International Airport,Sunan
FNT,Bishop International Airport,Flint
FNU,Fenosu,Palmas Arborea
FOB,Fort Bragg,Fort Bragg
FOD,Fort Dodge Airport,Fort Dodge
FOK,Suffolk County,Westhampton
FOM,Foumban,Foumban
FON,Fortuna Airport,Quesada
FOO,Numfoor,Kameri
FOP,Morris AAF,Forest Park
FOR,Pinto Martins Airport,Fortaleza
FOT,Forster,Dungog
FOX,Fox,Salcha
FOY,Foya,Buedu
FPO,Grand Bahama International Airport,Freeport
FPR,St Lucie County,Fort Pierce
FPY,Perry-Foley,Perry
FRA,Frankfurt Airport,Kelsterbach
FRB,Forbes,Forbes
FRC,Franca,Franca
FRG,Republic Field,East Farmingdale
FRH,Municipal,French Lick
FRI,Marshall AAF,Fort Riley North
FRL,Luigi Ridolfi,Forli
FRM,Fairmont,Fairmont
FRN,Bryant AAF,Elmendorf Air Force Base
FRO,Flora Airport,Floro
FRR,Front Royal-Warren County,Front Royal
FRS,Santa Elena Airport,Flores
FRT,Frutillar,Frutillar
FRU,Manas International Airport,Bishkek
FRW,Francistown Airport,Francistown
FRY,Fryeburg,Fryeburg
FRZ,Fritzlar Airbase,Fritzlar
FSC,Sud Corse Airport,Bonifacio
FSD,Sioux Falls Regional Airport (Joe Foss Field),Sioux Falls
FSK,Municipal,Fort Scott
FSM,Fort Smith Regional Airport,Barling
FSN,Haley AAF,Buffalo Grove
FSP,Saint Pierre Airport,Saint-Pierre
FSS,Kinloss,Kinloss
FST,Pecos County,Fort Stockton
FSU,Fort Sumner,Fort Sumner
FSZ,Shizuoka Airport,Shimada
FTK,Godman AAF,Fort Knox
FTU,Marillac Airport,Fort Dauphin
FTX,Owando,Owando
FTY,Fulton County,Mableton
FUE,Fuerteventura Airport,Puerto del Rosario
FUG,Fuyang Airport,Fuyang
FUJ,Fukue Airport,Fukuecho
FUK,Fukuoka Airport,Fukuoka-shi
FUL,Municipal,Buena Park
FUN,Funafuti Atol International Airport,Fakaifou Village
FUO,Fuoshan Airport,Guangzhou
FUT,Futuna Island,Sigave
FVM,Fumawula,Fuvahmulah
FWA,Fort Wayne International Airport,Ossian
FWM,Heliport,Fort William
FXE,Fort Lauderdale Executive Airport,Dania Beach
FXO,Cuamba,Cuamba
FXY,Municipal,Forest City
FYJ,Fuyuan Dongji Airport,Fuyuan
FYM,Municipal,Fayetteville
FYN,Fuyun Koktokay Airport,Kalatongke
FYT,Faya,Faya-Largeau
FYV,Municipal (Drake Field),Greenland
FZL,Fuzuli International Airport,Fuzuli
FZO,Filton,Almondsbury
GAA,Guamal,Guamal
GAC,Gracias,Gracias
GAD,Municipal,Attalla
GAE,Gabès Matmata International Airport,Gabes
GAF,Gafsa,Gafsa
GAG,Gage,Shattuck
GAH,Gayndah,Gayndah
GAI,Montgomery County,Gaithersburg
GAJ,Junmachi Airport,Higashine
GAN,Gan/Seenu Airport,Hithadhoo
GAQ,Gao,Gao
GAT,Tallard,Gap
GAU,Lokpriya Gopinath Bordoloi International Airport,Palasbari
GAW,Gangaw,Hakha
GAY,Gaya Airport,Bodh Gaya
GBB,Gabala International Airport,Agdas
GBD,Great Bend,Great Bend
GBE,Sir Seretse Khama International Airport,Mmopone
GBG,Galesburg,Galesburg
GBI,Auxiliary Airfield,Lucaya
GBJ,Les Bases,Grand-Bourg
GBK,Gbangbatok,Mogbwemo
GBM,Garbaharey,Garbahaarrey
GBO,Baltimore Greenbelt T,Catonsville
GBR,Walter J. Koladza Airport,Great Barrington
GBT,Gorgon Airport,Gorgan
GBZ,Great Barrier Island,Coromandel
GCA,Guacamaya,Gigante
GCC,Campbell County Airport,Gillette
GCD,Grand Coulee Dam,Coulee Dam
GCH,Gachsaran,Dogonbadan
GCJ,Grand Central,Germiston
GCK,Garden City Municipal Airport,Garden City
GCM,Owen Roberts International Airport,George Town
GCV,Gravatai,Gravatai
GCW,Grand Canyon West,Meadview
GCY,Municipal,Greeneville
GDB,Gondia Airport,Gondia
GDC,Donaldson Center,Mauldin
GDE,Gode/Iddidole Airport,Yeed
GDG,Magdagachi,Magdagachi
GDL,Don Miguel Hidal Y Costilla International Airport,El Quince
GDM,Municipal,Gardner
GDN,Gdansk Lech Walesa Airport,Banino
GDO,Vare Maria,Guasdualito
GDP,Guadalupe,Sao Joao dos Patos
GDQ,Gondar Airport,Gondar
GDR,Angra dos Reis Airport,Angra dos Reis
GDV,Dawson Community Airport,West Glendive
GDW,Gladwin,Gladwin
GDX,Magadan Airport,Sokol
GDZ,Gelendzik Airport,Gelendzhik
GEA,Noumea Magenta Airport,Noumea
GEB,Gebe,Petani
GEC,Gecitkale,Lefkonoiko
GED,Sussex County,Georgetown
GEG,Spokane International Airport,Airway Heights
GEL,Sepe Tiaraju,Santo Angelo
GEM,President Obiang Nguema International Airport,Mongomo
GEN,Oslo Gardermoen Airport,Gardermoen
GEO,Cheddi Jagan International Airport,Vreed-en-Hoop
GES,General Santos International Airport,Buayan
GET,Geraldton Airport,Geraldton
GEV,Gallivare Airport,Gaellivare
GEX,Geelong,Geelong West
GEY,South Big Horn County,Greybull
GFD,Pope Field,Greenfield
GFE,Grenfell,Grenfell
GFF,Griffith Airport,Griffith
GFK,Grand Forks International Airport,Grand Forks
GFL,Warren County,Queensbury
GFN,Grafton Airport,South Grafton
GFR,Granville,Donville-les-Bains
GFY,Grootfontein,Grootfontein
GGB,Água Boa,Mozarlandia
GGC,Lumbala,Zambezi
GGE,Georgetown,Georgetown
GGG,Gregg County Airport,Longview
GGH,Gastão Mesquita Airport,Cianorte
GGJ,Guaíra Airport,Salto del Guaira
GGL,Gilgal,Acandi
GGM,Kakamega Airport,Kakamega
GGN,Gagnoa,Gagnoa
GGO,Guiglo,Guiglo
GGS,Gobernador Gregores,Gobernador Gregores
GGT,Exuma International Airport,George Town
GGW,Glasgow International Airport,Glasgow
GHA,Noumerate Airport,Ghardaia
GHF,Giebelstadt,Giebelstadt
GHM,Municipal,Centerville
GHN,Guanghan,Guang'an
GHT,Ghat,Ghat
GHU,Gualeguaychu,Gualeguaychu
GIB,North Front Airport,Gibraltar
GID,Gitega,Gitega
GIF,Gilbert Field,Inwood
GIG,Galeao Antonio Carlos Jobim International Airport,Duque de Caxias
GII,Siguiri,Siguiri
GIL,Gilgit Airport,Gilgit
GIR,Girardot,Girardot City
GIS,Gisborne Airport,Gisborne
GIT,Geita,Geita
GIU,Sigiriya Slaf Base,Sigiriya
GIY,Giyani,Giyani
GIZ,Jazan Regional Airport,Jizan
GJA,Guanaja,Guanaja
GJL,Jijel Ferhat Abbas Airport,Jijel
GJM,Guajara-Mirim,Guajara Mirim
GJT,Grand Junction Regional Airport,Fruitvale
GKD,Gokceada,Gokceada
GKE,Geilenkirchen,Geilenkirchen
GKH,Gorkha,Lamjung
GKL,Great Keppel Island,Yeppoon
GKO,Kongoboumba,Booue
GKT,Gatlinburg,Sevierville
GLA,Glasgow International Airport,Inchinnan
GLD,Renner Field,Goodland
GLE,Municipal,Gainesville
GLH,Greenville Airport,Metcalfe
GLI,Glen Innes,Glen Innes
GLK,Galcaio,Gaalkacyo
GLL,Klanten Airport,Gol
GLN,Goulimime Airport,Guelmim
GLO,Gloucestershire,Gloucester
GLR,Otsego County,Gaylord
GLS,Scholes Field,Galveston
GLU,Gelephu Airport,Sarpang
GLW,Municipal,Glasgow
GLZ,Gilze-Rijen,Breda
GMA,Gemena,Gemena
GMB,Gambela Airport,Gambela
GMC,Guerima,Saint Peter Port
GMD,Ben Slimane,Bouznika
GME,Gomel Airport,Gomel
GMM,Gamboma,Gamboma
GMN,Greymouth,Greymouth
GMO,Gombe Lawanti International Airport,Akko
GMP,Gimpo International Airport,Bucheon-si
GMQ,Golog Maqin Airport,Dawu
GMS,Guimaraes,Bequimao
GMU,Greenville Downtown,Greenville
GMZ,La Gomera Airport,Alajero
GNA,Grodno Airport,Hrodna
GNB,Grenoble-Isere Airport,Saint-Etienne-de-Saint-Geoirs
GND,Maurice Bishop International Airport,Saint George's
GNF,Gansner Field,Charleston
GNG,Gooding,Gooding
GNI,Green Island,Taitung
GNJ,Ganja International Airport,Ganja
GNM,Guanambi,Guanambi
GNN,Ghinnir,Ginir
GNR,General Roca,Sierra Colorada
GNT,Milan,Grants
GNV,Gainesville Regional Airport,Gainesville
GNZ,Ghanzi,Ghanzi
GOA,Genoa Cristoforo Colombo Airport,San Teodoro
GOH,Nuuk Airport,Nuuk
GOI,Dabolim Airport,Chicalim
GOJ,Nizhny Novgorod International Airport,Gorbatovka
GOK,Guthrie,Guthrie
GOL,State,Gold Beach
GOM,Goma Airport,Goma
GON,New London,Long Hill
GOO,Goondiwindi,Goondiwindi
GOP,Gorakhpur Airport,Gorakhpur
GOQ,Golmud Airport,Guolemude
GOR,Gore,Gore
GOS,Gosford,East Gosford
GOT,Goteborg Landvetter Airport,Landvetter
GOU,Garoua Airport,Garoua
GOX,Mopa Airport,Mopa
GOY,Amparai,Ampara
GOZ,Gorna Oriahovitsa,Gorna Oryakhovitsa
GPA,Araxos Airport,Patra
GPB,Tancredo Thomaz Faria,Guarapuava
GPL,Guapiles,Guapiles
GPN,Garden Point,Nightcliff
GPO,General Pico,General Pico
GPS,Baltra Airport,Puerto Ayora
GPT,Gulfport-Biloxi International Airport,West Gulfport
GPZ,Grand Rapids,Grand Rapids
GQQ,Galion,Galion
GRA,Gamarra,Gamarra
GRB,Austin Straubel International Airport,Ashwaubenon
GRD,Greenwood,Greenwood
GRE,Municipal,Greenville
GRF,Gray AAF,Fort Lewis
GRG,Gardez,Gardez
GRI,Grand Island Airport,Grand Island
GRJ,George Airport,George
GRK,Robert Gray Army Airfield,Fort Hood
GRM,Devils Track,Newberry
GRN,Gordon,Gordon
GRO,Girona-Costa Brava Airport,Vilobi d'Onyar
GRQ,Eelde Airport,Vries
GRR,Gerald R. Ford International Airport,Forest Hills
GRS,Baccarini,Grosseto
GRT,Gujrat,Lala Musa
GRU,Sao Paulo-Guarulhos International Airport,Guarulhos
GRV,Groznyy Airport,Staraya Sunzha
GRW,Graciosa Island Airport,Lagoa
GRX,Granada Airport,Chauchina
GRY,Grimsey,Dalvik
GRZ,Graz Airport,Feldkirchen bei Graz
GSA,Long Pasia,Kayan Hulu
GSB,Seymour Johnson AFB,Goldsboro
GSE,Gothenburg City Airport,Majorna
GSH,Goshen,Goshen
GSJ,Puerto San Jose,Puerto San Jose
GSM,Dayrestan Airport,Bandar-e Khamir
GSO,Piedmont Triad International Airport,Oak Ridge
GSP,Greenville-Spartanburg International Airport,Greer
GSS,Sabi Sabi,Graksop
GSU,Gedaref,Al Qadarif
GSV,Saratov Gagarin Airport,Shumeyka
GSY,Binbrook,Grimsby
GTC,Green Turtle,Hard Bargain
GTF,Great Falls International Airport,Great Falls
GTG,Municipal,Grantsburg
GTI,Guettin,Ostseebad Dierhagen
GTK,Sungei Tekai,Segamat
GTO,Tolotio Airport,Isimu
GTP,Grants Pass,Merlin
GTR,Golden Triangle Regional Airport,West Point
GTT,Georgetown Airport,Georgetown
GTW,Holesov,Otrokovice
GTY,Gettysburg,Gettysburg
GTZ,Kirawira B,Issenye
GUA,La Aurora International Airport,Santa Catarina Pinula
GUB,Guerrero Negro,San Luis
GUC,Gunnison Airport,Gunnison
GUD,Goundam,Goundam
GUF,Edwards,Orange Beach
GUH,Gunnedah,Gunnedah
GUI,Guiria,Gueiria
GUJ,Guaratingueta,Guaratingueta
GUL,Goulburn,Goulburn
GUM,A.B. Won Pat International Airport,Tamuning-Tumon-Harmon Village
GUO,Gualaco,Gualaco
GUP,Senator Clark,Gallup
GUQ,Guanare,Guanare
GUS,Grissom AFB,Peru
GUW,Atyrau Airport,Atyrau
GUX,Guna,Guna
GUY,Guymon,Guymon
GUZ,Guarapari,Guarapari
GVA,Geneve Airport,Les Avanchets
GVE,Municipal,Gordonsville
GVL,Lee Gilmer Memorial,Gainesville
GVN,May-Gatka,Mayskiy
GVR,Governador Valadares Airport,Governador Valadares
GVT,Majors Field,Greenville
GVW,Richards-Gebaur,Grandview
GVX,Sandviken,Valbo
GWD,Gwadar Airport,Gwadar
GWE,Gweru,Gweru
GWL,Gwalior Airport,Morar
GWO,Leflore,Greenwood
GWT,Westerland - Sylt Airport,Tinnum
GWV,Glendale,Glendale
GWY,Carnmore,Gaillimh
GXF,Seiyun,Al Hamdi
GXG,Negage,Camabatela
GXH,Gannan Xiahe Airport,Nawu
GXQ,Ten. Vidal,Coihaique
GXX,Yagoua,Yagoua
GXY,Weld County,Greeley
GYA,Guayaramerin Airport,Guayaramerin
GYB,Wodgina Airport,Wodgina
GYD,Heydar Aliyev International Airport,Yeni Suraxani
GYE,Jose Joaquin de Olmedo Airport,Eloy Alfaro
GYG,Magan Airport,Magan
GYI,Gisenyi,Gisenyi
GYM,Gen Jose M Yanez,Heroica Guaymas
GYN,Santa Genoveva Airport,Goiania
GYO,Bandar Udara Senubung,Blangkejeren
GYP,Gympie,Gympie
GYR,Litchfield,Avondale
GYS,Guang Yuan Airport,Guangyuan
GYU,Guyuan Liupanshan Airport,Shirak
GYY,Gary/Chicago International,East Chicago
GZA,Gaza - Yaser Arafat International Airport,Shukat as Sufi
GZG,Garze Gesar Airport,Ganzi
GZI,Ghazni,Khayr Kot
GZM,Gozo Heliport,Saint Lucia
GZP,Gazipasa Airport,Gazipasa
GZT,Gaziantep Airport,Oguzeli
GZW,Ghazvin,Qazvin
HAA,Hasvik Airport,Breivikbotn
HAB,Marion County,Hamilton
HAD,Halmstad Airport,Halmstad
HAF,Half Moon,Half Moon Bay
HAI,Dr Haines,Three Rivers
HAJ,Hannover Airport,Langenhagen
HAM,Hamburg Airport,Fuhlsbuettel
HAN,Noi Bai International Airport,Soc Son
HAO,Hamilton,Hamilton
HAQ,Hanimaadhoo Airport,Dhidhdhoo
HAR,Capital City,Steelton
HAS,Hail Airport,Hayil
HAU,Haugesund Airport,Vedavagen
HAV,Jose Marti International Airport,Boyeros
HAW,Haverfordwest,Haverfordwest
HBA,Hobart International Airport,Seven Mile Beach
HBE,Borg El Arab Airport,Alexandria
HBG,The Hattiesburg-Bobby L. Chain Mun.,Hattiesburg
HBI,Harbour Island,Dunmore Town
HBK,Holbrook Municipal,Holbrook
HBN,Flamingo,Tan Bien
HBO,Municipal,Pawnee City
HBQ,Qilian Airport,Hongtu
HBR,Hobart,Hobart
HBU,Bulgan Hovd,Burenhayrhan
HBX,Hubli Airport,Hubli
HCA,Howard County,Big Spring
HCC,Columbia County,Stottville
HCJ,Hechi Jinchengjiang Airport,Nandan Chengguanzhen
HCM,Eil,Eyl
HCW,Cheraw,Cheraw
HCZ,Chenzhou Beihu Airport,Chenzhou
HDB,Airfield Heidelberg,Heidelberg
HDD,Hyderabad,Kotri
HDE,Brewster Field,Holdrege
HDF,Heringsdorf Airport,Seebad Heringsdorf
HDG,Handan Airport,Handan
HDH,Dillingham Airfield,Mililani Town
HDK,Kulhudhuffushi Airport,Kulhudhuffushi
HDM,Hamadan Airport,Hamadan
HDN,Yampa Valley Airport,Hayden
HDR,Havadarya,Qeshm
HDS,Hoedspruit Airport,Hoedspruit
HDY,Hat Yai International Airport,Khlong Hoi Khong
HEA,Herat International Airport,Guzarah
HEB,Henzada,Hinthada
HEE,Thompson-Robbins,Helena
HEI,Heide-Buesum,Oesterdeichstrich
HEK,Heihe Airport,Xinfu
HEN,Hendon,Hendon
HER,Heraklion Airport,Nea Alikarnassos
HES,State,Hermiston
HET,Hohhot Baita International Airport,Haoxinying
HEV,Huelva,Huelva
HEW,Hengdian Airport,Nanshi
HEY,Hanchey Army Heliport,Morgan
HEZ,Hardy-Anders,Morgantown
HFA,Haifa Airport,Qiryat Mozqin
HFD,Brainard,Wethersfield
HFF,Mackall AAF,Pinebluff
HFN,Hornafjordur,Hoefn
HFS,Hagfors Airport,Hagfors
HFT,Hammerfest Airport,Hammerfest
HGA,Hargeisa Airport,Hargeysa
HGE,Higuerote Airport,Higuerote
HGI,Higlieg,Abu Jibeha
HGL,Helgoland,Helgoland
HGN,Mae Hong Son Airport,Mae Hong Son
HGO,Korhogo Airport,Korhogo
HGR,Wash. County Regional Airport,State Line
HGS,Hastings,Hastings
HGU,Mount Hagen Airport,Mount Hagen
HHE,Hachinohe,Uchimaru
HHH,Hilton Head Airport,Hilton Head Island
HHI,Wheeler AFB,Wahiawa
HHN,Frankfurt - Hahn Airport,Lautzenhausen
HHQ,Hua Hin Airport,Hua Hin
HHR,Hawthorne,Hawthorne
HIA,Huai'an Lianshui Airport,Huai'an
HIB,Chisholm Airport,Hibbing
HIE,Regional,Whitefield
HIF,Hill AFB,Ogden
HII,Municipal,Desert Hills
HIJ,Hiroshima Airport,Takehara
HIK,Hickam AFB,Honolulu
HIM,Hingurakgoda,Polonnaruwa
HIN,Sacheon Airport,Chinju
HIO,Portland,Hillsboro
HIW,Hiroshima West,Hiroshima-shi
HJJ,Zhijiang Airport,Zhijiang
HJR,Khajuraho Airport,Khajuraho
HKA,Municipal,Blytheville
HKD,Hakodate Airport,Hakodate
HKG,Hong Kong International Airport,Tuen Mun
HKR,Mara North Airstrip,Keroka
HKS,Hawkins Field,Jackson
HKV,Haskovo,Haskovo
HKY,Hickory,Longview
HLA,Lanseria International Airport,Diepsloot
HLB,Hillenbrand,Batesville
HLC,Hill City,Hill City
HLD,Hulunbuir Hailar Airport,Fendou
HLE,Saint Helena Airport,Jamestown
HLF,Hultsfred - Vimmerby,Hultsfred
HLG,Ohio County,Tiltonsville
HLH,Ulanhot Airport,Heping
HLI,Hollister,Hollister
HLJ,Beidahuang General Airport,Zhaodong
HLM,Park Township,Holland
HLN,Helena Regional Airport,Helena
HLP,Halim Perdanakusuma Airport,Jakarta
HLR,Fort Hood AAF,Killeen
HLS,St Helens,St Helens
HLT,Hamilton,Hamilton
HLU,Houailou,Canala
HLY,Anglesey Airport,Holyhead
HLZ,Hamilton International Airport,Hamilton
HMA,Khanty-Mansiysk Airport,Khanty-Mansiysk
HMB,Mubarak International Airport,Al Manshah
HME,Oued Irara Airport,Hassi Messaoud
HMI,Hami Airport,Hami
HMJ,Khmelnitskiy,Khmel'nyts'kyy
HMN,Holloman AFB,Alamogordo
HMO,Gen Pesqueira Garcia Airport,Hermosillo
HMR,Hamar Airport,Hamar
HMT,Ryan Field,Green Acres
HMY,Seosan Airport,Suisan
HNA,Hanamaki Airport,Hanamaki
HNB,Municipal,Huntingburg
HNC,Hatteras,Buxton
HND,Haneda Airport,Kawasaki
HNG,Hienghene,Hienghene
HNI,Heiweni,Enewetak
HNL,Honolulu International Airport,Hickam Field
HNM,Hana Airport,Hana
HNY,Hengyang Nanyue Airport,Hengyang
HOA,Hola,Hola
HOB,Lea County Airport,Hobbs
HOD,Hodeidah Airport,Al Hudaydah
HOF,Al-Ahsa Airport,Al Hufuf
HOG,Frank Pais Airport,Cacocum
HON,Howes,Huron
HOO,Nhon Co,Gia Nghia
HOP,Campbell AAF,Hopkinsville
HOQ,Hof,Konradsreuth
HOR,Horta Airport,Ribeira Grande
HOS,Oscar Reguera,Chos Malal
HOT,Memorial Field,Piney
HOV,Hovden Airport,Volda
HOX,Homalin Airport,Yairipok
HOY,Hoy Island,Stromness
HPA,Salote Pilolevu,Pangai
HPG,Shennongjia Hongping Airport,Hongping
HPH,Cat Bi International Airport,Haiphong
HPN,Westchester County Airport,Purchase
HPT,Municipal,Hampton
HPV,Princeville,Princeville
HPY,Baytown Airport,Baytown
HQL,Tashkurgan Airport,Taxkorgan Tajik
HQM,Bowerman,Hoquiam
HRA,Mansehra,Mansehra
HRC,Zhairem,Qarazhal
HRE,Harare International Airport,Epworth
HRF,Hoarafushi Airport,Hoarafushi
HRG,Hurghada International Airport,Hurghada
HRJ,Chaurjhari,Tulsipur
HRK,Kharkov Airport,Bezlyudivka
HRL,Valley International Airport,Harlingen
HRM,Tilrempt,Berriane
HRN,Heliport,Gladstone
HRO,Boone County Airport,Harrison
HRS,Harrismith Airport,Kriel
HRT,Linton-On-Ouse,Harrogate
HRZ,Horizontina,Horizontina
HSA,Hazret Sultan International Airport,Kentau
HSB,Raleigh,Harrisburg
HSC,Shaoguan,Xinshao
HSF,Suifenhe Dongning Airport,Suifenhe
HSG,Saga Airport,Okawa
HSH,Henderson Executive,Whitney
HSI,Hastings,Hastings
HSJ,Shangjie Airport,Gongyi
HSK,Huesca-Pirineos,Alcala del Obispo
HSN,Putuoshan Airport,Dadong'ao
HSP,Ingalls Field,Warm Springs
HSS,Hissar,Hisar
HST,AFB,Homestead
HSV,Huntsville International Airport,Madison
HSZ,Hsinchu,Hsinchu
HTA,Chita Airport,Domna
HTG,Hatanga Airport,Khatanga
HTH,Hawthorne,Hawthorne
HTL,Roscommon County,Roscommon
HTM,Khatgal,Manhan
HTN,Hotan Airport,Nu'erbage
HTO,East Hampton,Bridgehampton
HTS,Tri-State/Milton Airport,Ceredo
HTT,Huatugou Airport,Gasi
HTV,Huntsville,Huntsville
HTY,Hatay Airport,Serinyol
HTZ,Hato Corozal,Socota
HUA,Redstone AAF,Huntsville
HUC,Humacao Airport,Bajandas
HUD,Humboldt,Humboldt
HUF,Hulman Field,Seelyville
HUG,Huehuetenango,Huehuetenango
HUH,Huahine Airport,Fare
HUI,Phu Bai International Airport,Phu Vang
HUJ,Hugo,Hugo
HUK,Hukuntsi,Hukuntsi
HUL,International,Houlton
HUM,Terrebonne,Presquille
HUN,Hualien Airport,Hualien City
HUO,Holingol Huolinhe Airport,Mositai
HUQ,Houn,Hun
HUT,Hutchinson,Hutchinson
HUU,Huanuco Airport,Huanuco
HUV,Hudiksvall,Hudiksvall
HUX,Huatulco Airport,Sector H Tres
